Scenario_ID,Domain,Type,CIS_Control,Expected,Checkov_Detected,Checkov_HIGH,tfsec_Detected,tfsec_HIGH,Terrascan_Detected,Terrascan_HIGH,Conftest_Detected,Result
CMP-BENIGN-001-ssm-enabled-on-ec2,,,,,FALSE,,FALSE,,FALSE,,FALSE,
CMP-BENIGN-002-imdsv2-required,,,,,FALSE,,FALSE,,FALSE,,FALSE,
CMP-MISC-001-ssm-disabled-on-ec2,,,,,FALSE,,FALSE,,FALSE,,FALSE,
CMP-MISC-002-imdsv2-allowed,,,,,FALSE,,FALSE,,FALSE,,FALSE,
IAM-BENIGN-001-mfa-enforced,,,,,FALSE,,FALSE,,FALSE,,FALSE,
IAM-BENIGN-002-no-admin-policy,,,,,FALSE,,FALSE,,FALSE,,FALSE,
IAM-MISC-001-mfa-not-enforced,,,,,FALSE,,FALSE,,FALSE,,FALSE,
IAM-MISC-002-admin-policy-attached,,,,,FALSE,,FALSE,,FALSE,,FALSE,
LOG-BENIGN-001-cloudtrail-enabled-all-regions,,,,,FALSE,,FALSE,,FALSE,,FALSE,
LOG-BENIGN-002-cloudwatch-retention-set,,,,,FALSE,,FALSE,,FALSE,,FALSE,
LOG-MISC-001-cloudtrail-disabled,,,,,FALSE,,FALSE,,FALSE,,FALSE,
LOG-MISC-002-cloudwatch-retention-not-set,,,,,FALSE,,FALSE,,FALSE,,FALSE,
NET-BENIGN-001-no-ssh-open,,,,,FALSE,,FALSE,,FALSE,,FALSE,
NET-BENIGN-002-vpc-flow-logs-enabled,,,,,FALSE,,FALSE,,FALSE,,FALSE,
NET-MISC-001-ssh-open-to-world,,,,,FALSE,,FALSE,,FALSE,,FALSE,
NET-MISC-002-vpc-flow-logs-disabled,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-BENIGN-001-s3-private-encrypted,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-BENIGN-002-s3-private-policy,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-BENIGN-003-rds-backup-retention,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-BENIGN-004-s3-access-logging-enabled,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-BENIGN-005-rds-encrypted-deletion-protection,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-MISC-001-s3-public-unencrypted,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-MISC-002-s3-public-policy,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-MISC-003-rds-no-backup-retention,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-MISC-004-s3-access-logging-disabled,,,,,FALSE,,FALSE,,FALSE,,FALSE,
STO-MISC-005-rds-unencrypted-no-deletion-protection,,,,,FALSE,,FALSE,,FALSE,,FALSE,
